Name,white_1,white_2,red_1,red_2
IR_350,0,0,12,0
IR_351,12,15,19,3
IR_352,48,0,84,113
IR_353,13,12,4,3
IR_354,60,38,28,21
IR_355,16,25,45,12
IR_356,12,4,3,5
IR_357,1,0,20,0
IR_358,45,7,9,28
IR_359,2,0,0,0
IR_360,270,332,95,70
IR_364,100,68,65,52
IR_365,60,51,25,15
IR_366,1,17,0,13
IR_367,2,2,0,9
IR_368,52,31,45,19
IR_369,22,5,2,8
IR_370,9,0,12,5
IR_371,87,50,34,34
IR_372,7,3,0,1
IR_373,1,0,3,4
IR_374,71,36,38,54
IR_375,89,55,82,35
IR_376,37,36,32,19
IR_377,2,0,0,1
IR_378,35,22,17,13
IR_379,13,12,8,1
IR_380,81,41,54,29
IR_381,2,3,2,2
IR_382,32,9,11,9
IR_383,16,6,7,4
IR_384,5,2,5,3
IR_385,7,2,2,1
IR_386,28,1,7,0
IR_387,3,5,4,0
IR_389,20,11,12,11
IR_390,59,45,24,19
IR_391,75,37,27,22
IR_392,0,1,0,2
IR_393,44,56,6,17
IR_394,5,10,8,5
IR_397,10,20,28,16
IR_398,1,7,10,1
IR_399,22,23,15,5
IR_401,9,1,0,8
IR_402,3,6,5,1
IR_403,17,7,15,8
IR_404,4,12,6,1
IR_405,2,1,0,0
IR_406,4,1,0,0
IR_407,14,27,6,7
IR_408,0,2,8,0
IR_409,6,3,9,0
IR_410,19,10,16,8
IR_411,25,27,42,49
IR_412,16,13,22,14
IR_414,62,65,32,36
IR_415,4,0,15,0
IR_416,6,5,2,2
IR_417,39,44,98,57
IR_418,58,77,124,60
IR_419,13,1,21,10
IR_420,3,8,3,2
IR_421,12,4,5,6
IR_422,12,12,10,9
IR_423,12,2,2,1
IR_424,6,3,0,0
IR_425,227,136,160,47
IR_426,62,44,24,6
IR_433,16,7,24,11
IR_434,6,7,9,1
IR_435,18,6,16,0
IR_436,0,1,1,0
IR_437,22,0,0,2
IR_438,34,29,12,17
IR_439,48,76,14,8
IR_440,123,83,60,26
IR_441,34,18,17,10
IR_442,7,0,0,0
IR_443,4,1,0,0
IR_444,31,21,9,8
IR_445,58,0,27,1
IR_446,46,42,27,24
IR_447,38,23,22,17
IR_448,0,7,0,3
IR_449,43,42,11,16
IR_450,168,136,120,57
IR_451,11,3,0,9
IR_452,13,20,8,22
IR_453,123,60,43,28
IR_454,5,1,5,3
IR_456,39,53,14,30
IR_458,56,26,34,14
IR_459,78,49,33,19
IR_460,52,28,6,8
IR_461,7,14,0,6
IR_462,4,0,0,1
IR_463,0,2,10,0
IR_465,19,37,25,9
IR_466,175,108,126,83
IR_467,8,6,0,3
IR_468,30,14,25,16
IR_469,51,41,17,9
IR_470,2,0,3,1
IR_471,87,86,14,23
IR_472,35,26,28,4
IR_473,14,1,4,6
IR_476,5,2,8,2
IR_477,129,151,167,68
IR_478,38,2,21,0
IR_479,28,25,25,1
IR_480,59,37,52,23
IR_481,1,1,2,3
IR_482,18,13,31,24
IR_483,9,2,10,1
IR_484,21,3,33,8
IR_485,15,46,52,48
IR_486,33,41,30,33
IR_487,29,51,40,20
IR_488,5,19,16,7
IR_489,44,23,23,14
IR_490,13,2,5,4
IR_491,8,0,0,0
IR_492,4,8,0,0
IR_493,85,12,56,25
IR_494,11,12,3,4
IR_495,11,8,6,0
IR_497,277,318,115,93
IR_498,59,19,55,20
IR_499,77,48,0,27
IR_500,3,1,4,3
IR_501,11,10,8,5
IR_502,18,4,3,0
IR_503,7,5,4,2
IR_505,3,2,1,0
IR_506,4,2,0,0
IR_508,0,7,0,0
IR_509,15,5,5,1
IR_510,3,3,2,4
IR_511,4,0,11,0
IR_512,25,10,19,2
IR_513,19,1,0,1
IR_514,66,83,19,51
IR_515,82,99,47,12
IR_516,18,18,17,3
IR_517,632,480,388,276
IR_518,19,20,10,15
IR_520,16,8,11,3
