"","white_1","white_2","red_1","red_2"
"IR_7549",15.2730833142993,5.21052642563081,20.2193948747861,23.0990081148211
"IR_7551",2.65618840248684,4.34210535469235,5.05484871869652,3.07986774864281
"IR_7552",5.31237680497367,6.07894749656928,14.1535764123503,18.4792064918569
"IR_7553",55.7799564522236,56.4473696110005,47.5155779557473,61.5973549728562
"IR_7554",95.6227824895261,109.421054938247,114.239581042541,61.5973549728562
"IR_7556",18.5933188174079,29.526316411908,27.2961830809612,40.0382807323565
"IR_7557",27.2259311254901,28.6578953409695,55.6033359056618,49.277883978285
"IR_7558",3.98428260373026,18.2368424897079,17.1864856435682,16.9392726175355
"IR_7559",0,17.3684214187694,21.2303646185254,3.07986774864281
"IR_7560",6.64047100621709,17.3684214187694,20.2193948747861,26.1788758634639
"IR_7561",10.6247536099473,7.81578963844622,41.4497594933115,3.07986774864281
"IR_7563",5.31237680497367,11.2894739222001,6.06581846243583,1.53993387432141
"IR_7564",7.3045181068388,2.60526321281541,1.0109697437393,7.69966937160703
"IR_7565",3.32023550310855,1.73684214187694,2.02193948747861,1.53993387432141
"IR_7566",7.96856520746051,6.94736856750775,5.05484871869652,1.53993387432141
"IR_7567",42.4990144397894,41.6842114050465,36.394910774615,18.4792064918569
"IR_7568",12.6168949118125,19.1052635606463,26.2852133372219,15.3993387432141
"IR_7569",42.4990144397894,23.4473689153387,10.109697437393,13.8594048688926
"IR_7570",83.0058875777137,76.4210542425853,62.6801241118369,47.7379501039636
"IR_7571",24.5697427230032,19.9736846315848,24.2632738497433,27.7188097377853
"IR_7572",5.31237680497367,1.73684214187694,9.09872769365374,1.53993387432141
"IR_7573",25.8978369242467,23.4473689153387,12.1316369248717,16.9392726175355
"IR_7574",20.585460119273,0,28.3071528247005,0
"IR_7575",7.96856520746051,4.34210535469235,1.0109697437393,0
"IR_7577",25.8978369242467,9.55263178032316,27.2961830809612,18.4792064918569
"IR_7578",8.63261230808222,10.4210528512616,10.109697437393,12.3194709945712
"IR_7579",49.1394854460065,36.4736849794157,71.7788518054906,15.3993387432141
"IR_7580",7.96856520746051,8.68421070938469,2.02193948747861,15.3993387432141
"IR_7581",24.5697427230032,24.3157899862771,46.504608212008,18.4792064918569
"IR_7582",1.99214130186513,3.47368428375388,7.07678820617513,6.15973549728562
"IR_7583",45.1552028422762,46.8947378306773,34.3729712871364,26.1788758634639
"IR_7584",2.65618840248684,4.34210535469235,4.04387897495722,1.53993387432141
