"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IR_4081",104.696128464565,-2.72370202587576,0.51004847247712,-5.34008466420403,9.29031846919005e-08,1.28375309756081e-05
"IR_4716",52.7868329075467,2.77183764468128,0.521198034322331,5.3182043333783,1.04796342402892e-07,1.41591502624352e-05
"IR_7526",141.68502179759,1.5526692420556,0.295842470678041,5.24829730666133,1.53511416208331e-07,2.02902045771011e-05
"IR_4715",34.9493651431889,3.19534526555351,0.612211135849103,5.21935175374055,1.79550466667451e-07,2.3226953985917e-05
"IR_4740",22.3321462873874,8.31193607887746,1.61528920730133,5.14578816060083,2.66399917167249e-07,3.37439895078515e-05
"IR_8827",217.474847364795,-1.1286864123399,0.222293059205897,-5.07747032845711,3.82493215828175e-07,4.74603826986797e-05
"IR_5451",327.718641492946,1.6201308540896,0.323755755876373,5.00417621828552,5.61014199024922e-07,6.82193266014305e-05
"IR_240",33.4428539915937,-5.15553782538015,1.03508845479571,-4.98077029213672,6.33316784833629e-07,7.55012951331072e-05
"IR_2722",74.3951409921118,2.05570351593554,0.415135600107495,4.95188443343149,7.34982505247448e-07,8.59364159981631e-05
"IR_8394",61.8022599962936,2.11362050310967,0.428124648422342,4.9369278571053,7.93628117853932e-07,9.10426218217341e-05
"IR_9143",107.833745095058,1.4620264404019,0.299808705636455,4.87653097763858,1.07967739396216e-06,0.000121563676949813
"IR_7519",547.360833319345,1.11213863991084,0.229294632632432,4.8502602400364,1.2329959404775e-06,0.000136302096692786
"IR_4807",30.739506705792,4.52914012086081,0.93673140076289,4.83504675638311,1.33114343303373e-06,0.000144524144157948
"IR_6019",30.8191080577396,-5.57194080189764,1.15613354007064,-4.81946125493184,1.43946403741008e-06,0.000153542830657076
"IR_8017",17.4126437110635,7.96970717600728,1.65983402484711,4.80150849826169,1.57474824679768e-06,0.000165077057595343
"IR_2492",175.9428894537,-1.57960671984067,0.334415885990798,-4.7234799123273,2.31842868952442e-06,0.000235306559385875
"IR_7494",95.2900843889519,1.9843342309619,0.420128709296971,4.72315789673698,2.32210420446588e-06,0.000235306559385875
"IR_5995",56.5357178664191,1.9315814677956,0.409545589045898,4.71640159107935,2.4005239300054e-06,0.000239265335974309
"IR_2584",123.99925472443,1.72069000141387,0.365638144232516,4.70599150705582,2.52635035789411e-06,0.000240717686412003
"IR_2590",188.709115288329,1.07359932882832,0.22816396088155,4.70538521806987,2.53387038328425e-06,0.000240717686412003
"IR_3609",219.859462833004,1.14145124968045,0.242394200053404,4.70906997539118,2.4884963485691e-06,0.000240717686412003
"IR_146",405.162358469589,-1.2276420237024,0.261532323038932,-4.69403555720205,2.67867442378515e-06,0.000250559084563288
"IR_1537",36.7706150426578,2.49829430447683,0.535946315108484,4.66146372136384,3.13968417182537e-06,0.000285530035675666
"IR_6821",161.879274636628,1.33699688300589,0.286846434029965,4.66101971086809,3.14646585366276e-06,0.000285530035675666
"IR_7318",49.3026682936716,2.06821761736136,0.444059959831427,4.65751881378023,3.20043184174903e-06,0.000286156258791678
"IR_6857",118.726676600506,1.67275374110094,0.359450635217997,4.65363968570111,3.26126490830846e-06,0.000287369429601673
"IR_1949",169.698894957129,1.18608969990672,0.258078786957004,4.59584343948549,4.310022386388e-06,0.000374356230131987
"IR_3477",71.6982249068526,1.65336715743421,0.361618627738736,4.57212939436501,4.82792635652497e-06,0.00041343369362918
